DOGMOS_LEGACY_MIXTURE_TRANSCRIPT_V1
set_o2|null|0|2.7000000476837158203|2500|100|0|2.7000000476837158203|2500|0|0|2.7000000476837158203|2500|0|0
set_n2|null|0|2.7000000476837158203|2500|100|50|2.7000000476837158203|2500|0|0|2.7000000476837158203|2500|0|0
adjust_o2|null|0|2.7000000476837158203|2500|75|50|2.7000000476837158203|2500|0|0|2.7000000476837158203|2500|0|0
set_temperature|null|0|400|2500|75|50|2.7000000476837158203|2500|0|0|2.7000000476837158203|2500|0|0
set_volume|null|0|400|2000|75|50|2.7000000476837158203|2500|0|0|2.7000000476837158203|2500|0|0
seed_b|null|0|400|2000|75|50|2.7000000476837158203|2500|20|0|2.7000000476837158203|2500|0|0
temperature_b|null|0|400|2000|75|50|300|2500|20|0|2.7000000476837158203|2500|0|0
merge|number|1|386.2069091796875|2000|95|50|300|2500|20|0|2.7000000476837158203|2500|0|0
remove_ratio|mixture|1|386.2069091796875|2000|71.25|37.5|300|2500|20|0|386.2069091796875|2000|23.75|12.5
transfer_amount|null|0|386.2069091796875|2000|64.69830322265625|34.051700592041015625|328.735626220703125|2500|26.551700592041015625|3.4482998847961425781|386.2069091796875|2000|23.75|12.5
equalize|null|0|372.8155517578125|2000|40.5555572509765625|16.666666030883789062|372.8155517578125|2500|50.694446563720703125|20.833333969116210938|386.2069091796875|2000|23.75|12.5
immutable_write|null|0|372.8155517578125|2000|40.5555572509765625|16.666666030883789062|372.8155517578125|2500|50.694446563720703125|20.833333969116210938|386.2069091796875|2000|23.75|12.5
